symbol,sector,Ask,Ask.Size,Average.Daily.Volume,Bid,Bid.Size,Book.Value,Change,Change.From.200.day.Moving.Average,Change.From.50.day.Moving.Average,Change.From.52.week.High,Change.From.52.week.Low,Change.in.Percent,Currency,Days.High,Days.Low,Days.Range,Dividend.Pay.Date,Dividend.per.Share,Dividend.Yield,EBITDA,EPS,EPS.Estimate.Current.Year,EPS.Estimate.Next.Quarter,EPS.Estimate.Next.Year,Ex.Dividend.Date,Float.Shares,High.52.week,Last.Trade.Date,Last.Trade.Price.Only,Last.Trade.Size,Last.Trade.With.Time,Low.52.week,Market.Capitalization,Moving.Average.200.day,Moving.Average.50.day,Name,Open,PE.Ratio,PEG.Ratio,Percent.Change.From.200.day.Moving.Average,Percent.Change.From.50.day.Moving.Average,Percent.Change.From.52.week.High,Percent.Change.From.52.week.Low,Previous.Close,Price.to.Book,Price.to.EPS.Estimate.Current.Year,Price.to.EPS.Estimate.Next.Year,Price.to.Sales,Range.52.week,Revenue,Shares.Outstanding,Short.Ratio,Stock.Exchange,Target.Price.1.yr.,Volume,Return.Avg.50.day
AVIR,Health Care,0.59,3.00E+03,170661,0.57,200,0.725,-0.0012,-0.4623,-0.0446,-1.4212,0.0188,-0.002069,USD,0.59,0.565,0.5650 - 0.5900,11/8/12,0,0,-3.06E+07,-0.81,-0.93,-0.23,-0.86,11/9/12,3.05E+07,2,5/2/17,0.5788,100,11:58am - <b>0.5788</b>,0.56,2.24E+07,1.0411,0.6234,"Aviragen Therapeutics, Inc.",0.58,NA,0,-0.44405,-0.071586,-0.7106,0.033571,0.58,0.8,NA,NA,2.2874,0.5600 - 2.0000,9.80E+06,3.86E+07,0.92,NMS,4.17,41662,-0.002154644
AVNW,Technology,19.89,100,29243,19.5,100,10.171,-0.0599,6.2815,4.237,-0.7499,13.7901,-0.003062,USD,20.25,19.5,19.5000 - 20.2500,NA,NA,NA,-1.20E+07,-4.174,-0.13,0,0.02,NA,3.84E+06,20.25,5/2/17,19.5001,1915,12:03pm - <b>19.5001</b>,5.71,1.03E+08,13.2186,15.2631,"Aviat Networks, Inc.",19.6,NA,0,0.475202,0.277598,-0.037032,2.415079,19.56,1.9231,NA,NA,0.4228,5.7100 - 20.2500,2.45E+08,5.31E+06,1.23,NMS,1.5,48595,0.003023871
AWRE,Technology,4.75,300,48703,4.7,300,2.586,-0.051,-0.607,0.047,-1.951,1.289,-0.01063,USD,4.75,4.7,4.700 - 4.750,7/24/14,0,0,5.72E+06,0.18,0.04,0,NA,7/25/14,1.28E+07,6.7,5/2/17,4.749,135,10:56am - <b>4.749</b>,3.46,1.07E+08,5.356,4.702,"Aware, Inc.",4.75,26.383,0,-0.11331,0.00993,-0.29119,0.37254,4.8,1.856,NA,NA,4.993,3.460 - 6.700,2.16E+07,2.24E+07,1.4,NGM,6,1344,-9.05E-04
AXAS,Energy,1.88,8200,2057390,1.87,2900,0.14,-0.02,-0.27,-0.1,-1.12,0.89,-0.0106,USD,1.91,1.86,1.86 - 1.91,NA,NA,NA,1.13E+06,-0.79,0.12,0.02,0.18,NA,1.25E+08,2.99,5/2/17,1.87,100,12:06pm - <b>1.87</b>,0.98,2.50E+08,2.14,1.97,Abraxas Petroleum Corporation,1.89,NA,8,-0.1251,-0.053,-0.3746,0.9074,1.89,13.6,15.58,10.39,4.94,0.98 - 2.99,5.11E+07,1.34E+08,0.83,NCM,2.92,230875,-0.002812512
AXGN,Health Care,12.85,1200,151189,12.75,800,0.45,0,3.07,2.01,-0.1,7.57,0,USD,12.9,12.6,12.60 - 12.90,NA,0,0,-7.69E+06,-0.47,-0.25,-0.06,-0.01,1/27/10,2.31E+07,12.9,5/2/17,12.8,100,12:09pm - <b>12.80</b>,5.23,4.23E+08,9.73,10.79,"AxoGen, Inc.",12.9,NA,0,0.3157,0.1859,-0.0078,1.4474,12.8,28.32,NA,NA,10.28,5.23 - 12.90,4.11E+07,3.30E+07,12.05,NCM,12.88,33067,0.002676344
AXTI,Technology,7.05,2700,857385,7,400,4.05,-0.05,1.31,1.02,-1.6,4.25,-0.007,USD,7.13,6.85,6.85 - 7.13,NA,NA,NA,1.15E+07,0.17,0.17,0.07,0.31,NA,3.14E+07,8.65,5/2/17,7.05,100,12:08pm - <b>7.05</b>,2.8,2.31E+08,5.74,6.03,AXT Inc,7.05,41.47,4.12,0.2286,0.1689,-0.185,1.5179,7.1,1.75,41.47,22.74,2.85,2.80 - 8.65,8.14E+07,3.27E+07,0.16,NMS,9.17,143133,3.64E-04
AYA,Technology,18.05,1400,159380,18,300,10.45,0.05,3.15,1.38,-0.15,6,0.0028,USD,18.15,17.8,17.80 - 18.15,NA,NA,NA,4.17E+08,0.7,1.97,0.47,2.17,NA,7.19E+07,18.15,5/2/17,18,100,12:07pm - <b>18.00</b>,12,2.62E+09,14.85,16.62,Amaya Inc.,18,25.71,0,0.2123,0.083,-0.0083,0.5,17.95,1.72,9.14,8.29,2.26,12.00 - 18.15,1.16E+09,1.46E+08,45.01,NMS,18.75,119858,0.00375544
AZPN,Technology,62.17,200,501502,62.13,200,-2.53,0.1,7.17,3.09,-0.47,25.9,0.0016,USD,62.62,61.83,61.83 - 62.62,NA,NA,NA,2.21E+08,1.73,1.86,0.42,2.04,NA,7.59E+07,62.62,5/2/17,62.15,100,12:09pm - <b>62.15</b>,36.25,4.73E+09,54.98,59.06,"Aspen Technology, Inc.",62.25,35.99,2.56,0.1303,0.0523,-0.0075,0.7145,62.05,NA,33.41,30.47,9.98,36.25 - 62.62,4.73E+08,7.61E+07,6.88,NMS,52.5,88706,0.001588881
BABY,Health Care,35.75,200,341375,35.7,400,12.94,-0.1,-2.52,-2.77,-8.64,4.56,-0.0028,USD,35.95,35.3,35.30 - 35.95,NA,NA,NA,6.80E+07,1.04,1.68,0.41,2.02,NA,3.12E+07,44.39,5/2/17,35.75,100,12:15pm - <b>35.75</b>,31.19,1.16E+09,38.27,38.52,Natus Medical Incorporated,35.8,34.38,0.97,-0.0657,-0.072,-0.1946,0.1462,35.85,2.77,21.28,17.7,2.78,31.19 - 44.39,4.19E+08,3.25E+07,9.78,NMS,44.5,138815,-9.91E-04
BATRA,Consumer Services,24.75,100,69959,24.68,200,7.788,-0.1199,3.8477,1.0707,-0.9299,10.4801,-0.004829,USD,25.06,24.4501,24.4501 - 25.0600,NA,NA,NA,-2.90E+07,-1.254,-0.12,0,0.07,NA,3.72E+07,25.64,5/2/17,24.7101,100,12:13pm - <b>24.7101</b>,14.23,1.22E+09,20.8624,23.6394,Liberty Media Corporation,24.82,NA,-5.37,0.184432,0.045293,-0.036268,0.736479,24.83,3.1882,NA,353.0014,4.6863,14.2300 - 25.6400,2.62E+08,4.94E+07,2.48,NMS,23,7636,0.003596885
BATRK,Consumer Services,24.59,100,121508,24.53,100,7.79,-0.1,3.82,1.13,-0.81,10.65,-0.0041,USD,24.9,24.36,24.36 - 24.90,NA,NA,NA,-2.90E+07,-1.25,-0.91,-0.37,-0.7,NA,3.72E+07,25.38,5/2/17,24.57,100,12:13pm - <b>24.57</b>,13.92,1.21E+09,20.75,23.44,Liberty Media Corporation,24.73,NA,0,0.1842,0.048,-0.0319,0.7651,24.67,3.17,NA,NA,4.66,13.92 - 25.38,2.62E+08,4.94E+07,3.36,NMS,17,29476,0.003206594
BBBY,Consumer Services,37.57,200,2395260,37.55,700,19.05,0.13,-3.68,-1.46,-11.27,0.35,0.0035,USD,37.62,37.21,37.21 - 37.62,7/18/17,0.6,1.55,1.43E+09,4.58,4.32,1.03,4.34,3/15/17,1.38E+08,48.83,5/2/17,37.56,100,12:09pm - <b>37.56</b>,37.21,5.36E+09,41.24,39.02,Bed Bath & Beyond Inc.,37.4,8.2,1.43,-0.0892,-0.0375,-0.2308,0.0094,37.43,1.97,8.69,8.65,0.44,37.21 - 48.83,1.22E+10,1.43E+08,6.11,NMS,39.05,985890,-9.16E-04
BBGI,Consumer Services,11.6,600,34095,11.55,200,7.02,-0.05,3.3,-0.84,-6.59,7.96,-0.0043,USD,12.15,11.25,11.25 - 12.15,4/7/17,0.18,1.37,2.97E+07,1.98,0.53,0,0.56,3/29/17,4.63E+06,18.19,5/2/17,11.6,200,12:00pm - <b>11.60</b>,3.64,3.34E+08,8.3,12.44,"Beasley Broadcast Group, Inc.",12,5.86,0,0.3978,-0.0677,-0.3622,2.1868,11.65,1.66,NA,NA,2.46,3.64 - 18.19,1.37E+08,2.88E+07,1.05,NGM,1.5,27992,0.008206751
BBOX,Technology,9.8,400,121702,9.75,900,9.41,0.23,-2.25,0.62,-7.25,1.55,0.0235,USD,9.85,9.63,9.63 - 9.85,4/14/17,0.48,4.85,2.49E+07,-3.51,0.73,0.09,0.63,3/29/17,1.47E+07,17.05,5/2/17,9.8,100,12:09pm - <b>9.80</b>,8.25,1.48E+08,12.05,9.18,Black Box Corporation,9.65,NA,1.39,-0.1869,0.0678,-0.4252,0.1879,9.57,1.02,13.42,15.56,0.17,8.25 - 17.05,8.72E+08,1.51E+07,8.12,NMS,10,25523,5.47E-04
BBRG,Consumer Services,4.85,200,99338,4.8,400,-1.43,-0.05,0.46,-0.1,-3.88,1.4,-0.0103,USD,4.95,4.78,4.78 - 4.95,NA,NA,NA,2.27E+07,-5.09,0.26,0.11,0.26,NA,1.17E+07,8.68,5/2/17,4.8,200,12:06pm - <b>4.80</b>,3.4,7.27E+07,4.34,4.9,"Bravo Brio Restaurant Group, In",4.9,NA,1.64,0.1053,-0.0195,-0.447,0.4118,4.85,NA,18.46,18.46,0.18,3.40 - 8.68,4.10E+08,1.51E+07,7.89,NMS,5,18539,0.003559803
BBRY,Public Utilities,9.31,17900,6879610,9.3,15500,3.88,-0.01,1.86,1.32,-0.09,3.08,-0.0011,USD,9.35,9.25,9.25 - 9.35,NA,NA,NA,8.70E+07,-2.3,0.02,0,0.08,NA,5.27E+08,9.4,5/2/17,9.31,800,12:09pm - <b>9.31</b>,6.23,4.94E+09,7.45,7.99,BlackBerry Limited,9.31,NA,45.96,0.2504,0.1656,-0.0096,0.4944,9.32,2.4,465.5,116.38,3.78,6.23 - 9.40,1.31E+09,5.31E+08,13.48,NMS,8.73,1626436,0.005241071
BBSI,Technology,59.8,100,43180,59.44,200,9.62,1.17,2.35,4.7,-7.4,32.25,0.02,USD,59.85,58.6,58.60 - 59.85,3/14/17,0.91,1.58,32190000,2.55,3.43,0,3.82,2/23/17,6.98E+06,66.93,5/2/17,59.53,100,12:09pm - <b>59.53</b>,27.28,4.32E+08,57.18,54.83,"Barrett Business Services, Inc.",58.6,23.35,0,0.0412,0.0858,-0.1106,1.1822,58.36,6.07,NA,NA,0.5,27.28 - 66.93,8.41E+08,7.25E+06,1.62,NMS,53,16682,-0.001739392
BCOM,Consumer Services,20.17,100,1148,18.91,100,10.796,0.0101,-1.5325,-0.7096,-10.0899,0.9201,5.34E-04,USD,18.9101,18.9101,18.9101 - 18.9101,6/29/16,3.66,17.06,1.01E+09,-2.162,NA,0,NA,6/13/16,1.04E+07,29,5/2/17,18.9101,113,11:16am - <b>18.9101</b>,17.99,5.58E+08,20.4426,19.6197,B Communications Ltd.,20.05,NA,0,-0.074966,-0.036168,-0.347928,0.051145,18.9,1.7506,NA,NA,0.2031,17.9900 - 29.0000,2.75E+09,2.95E+07,1.13,NMS,25.03,206,-0.00102485
