symbol,sector,Ask,Ask.Size,Average.Daily.Volume,Bid,Bid.Size,Book.Value,Change,Change.From.200.day.Moving.Average,Change.From.50.day.Moving.Average,Change.From.52.week.High,Change.From.52.week.Low,Change.in.Percent,Currency,Days.High,Days.Low,Days.Range,Dividend.Pay.Date,Dividend.per.Share,Dividend.Yield,EBITDA,EPS,EPS.Estimate.Current.Year,EPS.Estimate.Next.Quarter,EPS.Estimate.Next.Year,Ex.Dividend.Date,Float.Shares,High.52.week,Last.Trade.Date,Last.Trade.Price.Only,Last.Trade.Size,Last.Trade.With.Time,Low.52.week,Market.Capitalization,Moving.Average.200.day,Moving.Average.50.day,Name,Open,PE.Ratio,PEG.Ratio,Percent.Change.From.200.day.Moving.Average,Percent.Change.From.50.day.Moving.Average,Percent.Change.From.52.week.High,Percent.Change.From.52.week.Low,Previous.Close,Price.to.Book,Price.to.EPS.Estimate.Current.Year,Price.to.EPS.Estimate.Next.Year,Price.to.Sales,Range.52.week,Revenue,Shares.Outstanding,Short.Ratio,Stock.Exchange,Target.Price.1.yr.,Volume,Return.Avg.50.day
III,Consumer Services,3.22,800,119549,3.19,1.00E+03,1.35,-0.02,-0.3,0.07,-1.13,0.24,-0.0062,USD,3.26,3.18,3.18 - 3.26,1/28/15,0,0,1.17E+07,-0.18,0.08,0.05,0.29,1/13/15,2.76E+07,4.32,5/2/17,3.19,100,12:12pm - <b>3.19</b>,2.95,1.35E+08,3.49,3.12,"Information Services Group, Inc",3.21,NA,3.13,-0.0861,0.0218,-0.2616,0.0814,3.21,2.37,39.88,11,0.63,2.95 - 4.32,2.17E+08,4.23E+07,4.55,NGM,5.81,25435,5.67E-04
IIIN,Capital Goods,34.89,200,145264,34.84,200,11.18,0.07,-0.19,-0.52,-7.95,12.36,0.002,USD,35,34.66,34.66 - 35.00,3/31/17,0.12,0.34,6.77E+07,1.84,1.79,0.6,2.73,3/15/17,1.79E+07,42.81,5/2/17,34.86,100,12:07pm - <b>34.86</b>,22.5,6.63E+08,35.05,35.38,"Insteel Industries, Inc.",34.86,18.99,1.5,-0.0055,-0.0147,-0.1858,0.5493,34.79,3.11,19.47,12.77,1.6,22.50 - 42.81,4.14E+08,1.90E+07,7.76,NMS,38.67,43876,-0.001542959
IIJI,Technology,9.18,300,3051,9.07,200,6.599,-0.0392,0.8326,0.1514,-2.0692,2.3608,-0.004308,USD,9.51,9.0608,9.0608 - 9.5100,NA,0.12,1.39,1.22E+08,0.337,0.37,0,0.42,NA,2.16E+07,11.13,5/2/17,9.0608,100,10:41am - <b>9.0608</b>,6.7,4.11E+08,8.2282,8.9094,"Internet Initiative Japan, Inc.",9.16,26.8866,0,0.101194,0.01699,-0.185912,0.352358,9.1,1.379,NA,NA,0.2901,6.7000 - 11.1300,1.42E+09,4.54E+07,0.36,NMS,12.5,10061,-1.97E-04
IIVI,Capital Goods,30.25,400,760564,30.15,1100,13.1,-3.9,-2.24,-4.11,-10.9,12.44,-0.1144,USD,34.15,29.55,29.55 - 34.15,NA,NA,NA,1.74E+08,1.09,1.32,0.38,1.69,NA,5.49E+07,41.1,5/2/17,30.2,100,12:13pm - <b>30.20</b>,17.76,1.89E+09,32.44,34.31,II-VI Incorporated,33.1,27.66,1.29,-0.0692,-0.1199,-0.2652,0.7005,34.1,2.6,22.88,17.87,2.37,17.76 - 41.10,9.00E+08,6.26E+07,2.19,NMS,41.08,1589674,-0.0031451
ILG,Finance,24.19,100,1165310,24.18,400,12.57,0.06,5.37,3.14,-0.63,12.4,0.0025,USD,24.5,23.89,23.89 - 24.50,3/28/17,0.6,2.49,2.51E+08,2.6,1.13,0.26,1.28,3/10/17,1.05E+08,24.82,5/2/17,24.19,100,12:13pm - <b>24.19</b>,11.79,3.01E+09,18.82,21.05,"ILG, Inc",24.21,9.3,1.45,0.2852,0.1494,-0.0254,1.0517,24.13,1.92,21.41,18.9,2.93,11.79 - 24.82,1.03E+09,1.25E+08,7.25,NMS,24.2,460248,0.004931764
ILMN,Capital Goods,187.44,100,958903,187.32,200,17.51,0.52,34.53,14.87,-1.15,67.96,0.0028,USD,187.88,185.4,185.40 - 187.88,NA,NA,NA,7.04E+08,4.98,3.64,1.06,4.36,NA,1.45E+08,188.48,5/2/17,187.33,100,12:13pm - <b>187.33</b>,119.37,2.74E+10,152.8,172.46,"Illumina, Inc.",186.62,37.61,3.65,0.226,0.0862,-0.0061,0.5693,186.81,10.67,51.46,42.97,11.25,119.37 - 188.48,2.42E+09,1.46E+08,5.85,NMS,174.06,221735,0.00281892
IMDZ,Health Care,6.35,1.00E+03,83675,6.3,100,3.74,-0.2,0.03,-0.14,-7.86,1.85,-0.0305,USD,6.51,6.25,6.25 - 6.51,NA,NA,NA,-4.81E+07,-2.52,-2.42,-0.61,-2.33,NA,1.03E+07,14.21,5/2/17,6.35,400,11:56am - <b>6.35</b>,4.5,1.62E+08,6.32,6.49,Immune Design Corp.,6.5,NA,-0.55,0.0045,-0.022,-0.553,0.4111,6.55,1.75,NA,NA,12.57,4.50 - 14.21,1.33E+07,2.54E+07,7.46,NGM,27.33,27760,0.003405072
IMGN,Health Care,4.29,2.00E+03,2036860,4.28,1.20E+04,-1.75,-0.09,1.66,0.59,-2.39,2.78,-0.0205,USD,4.47,4.21,4.21 - 4.47,NA,NA,NA,-1.20E+08,-1.81,-1.42,-0.36,-1.38,NA,NA,6.68,5/2/17,4.29,200,12:13pm - <b>4.29</b>,1.51,3.75E+08,2.63,3.7,"ImmunoGen, Inc.",4.4,NA,0,0.63,0.1591,-0.3578,1.8411,4.38,NA,NA,NA,8.9,1.51 - 6.68,4.30E+07,8.74E+07,5.09,NMS,5.28,520240,0.012370926
IMI,Technology,0.83,200,64903,0.8,6100,0.909,0.0254,-0.1648,-0.0695,-1.6446,0.0414,0.03175,USD,0.83,0.8,0.8000 - 0.8300,NA,NA,NA,-3.32E+06,-0.313,-0.22,-0.08,-0.15,NA,1.39E+07,2.47,5/2/17,0.8254,500,12:12pm - <b>0.8254</b>,0.784,4.09E+07,0.9902,0.8949,"Intermolecular, Inc.",0.8,NA,0,-0.166449,-0.077618,-0.66583,0.052806,0.8,0.8801,NA,NA,0.8378,0.7840 - 2.4700,4.73E+07,4.95E+07,0.86,NMS,3,29126,-0.005405786
IMKTA,Consumer Services,46.25,100,38790,46.1,300,23.73,-0.25,0.55,1.6,-6.2,10.43,-0.0054,USD,47.9,45.95,45.95 - 47.90,4/13/17,0.66,1.41,2.37E+08,2.72,2.75,0,2.95,4/4/17,1.39E+07,52.4,5/2/17,46.2,100,12:13pm - <b>46.20</b>,35.77,9.36E+08,45.65,44.6,"Ingles Markets, Incorporated",46.4,17.01,0,0.0121,0.0359,-0.1183,0.2916,46.45,1.96,NA,NA,0.25,35.77 - 52.40,3.83E+09,2.03E+07,7.82,NMS,NA,7635,2.87E-04
IMMR,Technology,9.09,200,282338,9.08,300,1.91,0.04,-0.55,0.56,-2.83,3.19,0.0044,USD,9.12,8.97,8.97 - 9.12,NA,NA,NA,-1.44E+07,-1.37,-1.01,-0.31,-0.32,NA,1.86E+07,11.92,5/2/17,9.09,100,12:11pm - <b>9.09</b>,5.9,263460000,9.64,8.53,Immersion Corporation,9.1,NA,-0.6,-0.0574,0.0659,-0.2374,0.5407,9.05,4.73,NA,NA,4.59,5.90 - 11.92,5.71E+07,2.90E+07,3.13,NMS,11.21,50300,-0.00373494
IMMU,Health Care,5.38,1100,3902760,5.37,3300,-0.7,-0.16,1.03,-0.74,-1.77,3.43,-0.0289,USD,5.58,5.31,5.31 - 5.58,NA,NA,NA,-5.87E+07,-0.72,-0.61,-0.08,0.02,NA,8.94E+07,7.15,5/2/17,5.38,100,12:13pm - <b>5.38</b>,1.95,5.71E+08,4.35,6.12,"Immunomedics, Inc.",5.52,NA,0,0.2354,-0.1207,-0.2476,1.759,5.54,NA,NA,269,198.72,1.95 - 7.15,2.96E+06,1.06E+08,6.03,NGM,7.5,565774,0.003253246
IMMY,Health Care,4.21,100,257049,4.18,1100,0.34,-0.02,1.41,0.63,-0.49,2.55,-0.0047,USD,4.3,4.17,4.17 - 4.30,NA,NA,NA,-1.41E+07,-1.5,-0.59,-0.16,-0.13,NA,1.31E+07,4.69,5/2/17,4.2,100,12:13pm - <b>4.20</b>,1.65,7.82E+07,2.79,3.57,"Imprimis Pharmaceuticals, Inc.",4.3,NA,-0.48,0.5069,0.175,-0.1045,1.5455,4.22,12.23,NA,NA,3.94,1.65 - 4.69,1.99E+07,1.86E+07,4.88,NCM,5,54550,0.008814022
IMOS,Technology,17.5,200,218485,17.48,100,0.62,0.03,1.5,0.33,-0.51,3.55,0.0017,USD,17.49,17.36,17.36 - 17.49,12/27/16,2.62,15.01,1.72E+08,0.05,0.68,0.3,1.67,10/31/16,6.61E+08,18,5/2/17,17.49,100,12:10pm - <b>17.49</b>,13.94,1.50E+10,15.99,17.16,ChipMOS TECHNOLOGIES INC.,17.41,330,0,0.0938,0.0192,-0.0283,0.2547,17.46,28.03,14.34,10.47,24.75,13.94 - 18.00,6.04E+08,8.57E+08,0.66,NMS,22.5,42457,0.002105167
IMPV,Technology,44.55,400,521175,44.5,300,7.01,0.3,3.95,2.72,-12.69,13.44,0.0068,USD,44.75,44,44.00 - 44.75,NA,NA,NA,-5.33E+07,-2.18,0.33,0.01,0.56,NA,2.55E+07,57.24,5/2/17,44.55,100,12:09pm - <b>44.55</b>,31.11,1.49E+09,40.6,41.83,"Imperva, Inc.",44.45,NA,7.6,0.0973,0.0651,-0.2217,0.432,44.25,6.31,135,79.55,5.59,31.11 - 57.24,2.64E+08,3.34E+07,4.72,NMS,51.43,122527,-8.48E-05
INAP,Technology,3.16,2100,1113140,3.15,1500,-0.068,0.085,1.116,-0.298,-0.705,2.355,0.02769,USD,3.17,3.075,3.075 - 3.170,NA,NA,NA,6.43E+07,-2.384,-0.33,-0.08,-0.28,NA,4.09E+07,3.86,5/2/17,3.155,100,12:13pm - <b>3.155</b>,0.8,1.72E+08,2.039,3.453,Internap Corporation,3.1,NA,-3.21,0.54707,-0.08626,-0.18264,2.94474,3.07,NA,NA,NA,0.561,0.800 - 3.860,2.98E+08,5.45E+07,2.36,NMS,4.29,200873,0.012267595
INCR,Health Care,44.1,900,1021540,44.05,100,5.61,-1.35,-4.51,-0.26,-12.83,7.35,-0.0297,USD,45.22,43.97,43.97 - 45.22,NA,NA,NA,2.32E+08,2.03,2.66,0.65,3,NA,5.39E+07,56.88,5/2/17,44.05,100,12:13pm - <b>44.05</b>,36.7,2.38E+09,48.56,44.31,"INC Research Holdings, Inc.",45.15,21.7,1.21,-0.0929,-0.0059,-0.2255,0.2003,45.4,8.1,16.56,14.68,2.38,36.70 - 56.88,1.03E+09,5.40E+07,1.39,NMS,50.29,618226,-0.003014248
INCY,Health Care,123.09,100,2644450,123,100,2.221,-0.9548,6.8152,-13.0378,-30.1048,55.0152,-0.0077,USD,124.155,121.52,121.5200 - 124.1550,NA,NA,NA,1.91E+08,0.54,-0.23,0.24,0.73,NA,1.57E+08,153.15,5/2/17,123.0452,200,12:13pm - <b>123.0452</b>,68.03,2.33E+10,116.23,136.083,Incyte Corporation,123.98,227.8615,-10.78,0.058635,-0.095808,-0.196571,0.80869,124,55.8307,NA,168.5551,21.241,68.0300 - 153.1500,1.11E+09,1.89E+08,2.12,NMS,147.93,554358,0.001042582
INFI,Health Care,1.97,3300,1102530,1.96,400,1.64,-0.06,0.01,-0.7,-4.01,1.12,-0.0297,USD,2.08,1.87,1.87 - 2.08,NA,NA,NA,-1.18E+08,-0.61,-1.12,-0.26,-1.44,NA,3.83E+07,5.97,5/2/17,1.96,100,12:13pm - <b>1.96</b>,0.84,9.88E+07,1.95,2.66,"Infinity Pharmaceuticals, Inc.",2.01,NA,-0.02,0.0026,-0.2644,-0.6717,1.3328,2.02,1.23,NA,NA,5.44,0.84 - 5.97,1.87E+07,5.04E+07,3.05,NMS,2,509784,-0.001960107
INFN,Public Utilities,9.88,400,2.32E+06,9.87,2600,5.26,0.02,0.51,-0.29,-3.93,2.65,0.002,USD,9.96,9.79,9.79 - 9.96,NA,NA,NA,4.58E+07,-0.17,-0.27,-0.11,0.23,NA,1.44E+08,13.81,5/2/17,9.88,100,12:13pm - <b>9.88</b>,7.23,1.45E+09,9.37,10.17,Infinera Corporation,9.9,NA,1.91,0.0539,-0.0284,-0.2846,0.3665,9.86,1.88,NA,42.96,1.66,7.23 - 13.81,8.70E+08,1.46E+08,8.6,NMS,10.89,364308,-0.002604436
INFO,Technology,43.6,400,1995620,43.59,400,18.936,-0.065,5.049,1.66,-0.405,13.215,-0.00149,USD,43.79,43.46,43.460 - 43.790,NA,NA,NA,8.71E+08,0.482,2.06,0.53,2.38,NA,3.79E+08,44,5/2/17,43.595,100,12:13pm - <b>43.595</b>,30.38,1.77E+10,38.547,41.935,METRO ONE TELECOMM,43.74,90.446,1.49,0.13097,0.03959,-0.0092,0.43499,43.66,2.306,21.163,18.317,5.852,30.380 - 44.000,3.03E+09,4.06E+08,3.18,NMS,43.53,793280,0.001661617
INGN,Health Care,85.27,100,161536,85.12,100,8.93,0.76,17.54,7.94,-0.67,42.11,0.009,USD,85.94,84.21,84.21 - 85.94,NA,NA,NA,3.43E+07,0.97,1.04,0.34,1.2,NA,1.68E+07,85.94,5/2/17,85.27,100,12:13pm - <b>85.27</b>,43.16,1.75E+09,67.73,77.33,"Inogen, Inc",84.61,87.91,2.68,0.2589,0.1027,-0.0078,0.9757,84.51,9.46,81.99,71.06,8.53,43.16 - 85.94,2.03E+08,2.05E+07,5.42,NMS,76.67,66274,0.003902621
INNL,Health Care,2.07,3500,1686100,2.06,500,-0.107,-0.005,0.088,0.378,-10.875,1.535,-0.00242,USD,2.07,2.03,2.030 - 2.070,NA,NA,NA,-6.42E+07,-2.12,-0.27,0,-0.32,NA,1.86E+07,12.94,5/2/17,2.065,100,12:06pm - <b>2.065</b>,0.53,6.14E+07,1.977,1.687,Innocoll Holdings,2.07,NA,0,0.04425,0.22404,-0.84042,2.89623,2.07,NA,NA,NA,14.085,0.530 - 12.940,4.37E+06,2.97E+07,0.5,NGM,3,156553,0.035351047
INO,Health Care,6.29,400,749930,6.28,600,1.66,-0.09,-0.55,-0.01,-5.33,0.45,-0.0141,USD,6.45,6.23,6.23 - 6.45,NA,NA,NA,-7.42E+07,-1.01,-1.09,-0.24,-1.41,NA,6.88E+07,11.61,5/2/17,6.28,100,12:13pm - <b>6.28</b>,5.83,4.65E+08,6.83,6.29,"Inovio Pharmaceuticals, Inc.",6.36,NA,0,-0.0801,-0.0013,-0.4593,0.0772,6.37,3.83,NA,NA,13.35,5.83 - 11.61,3.54E+07,7.41E+07,14.95,NMS,11,219725,-0.001751824
INOV,Technology,12.5,5.00E+03,598202,12.45,1100,4.616,0.075,0.035,0.35,-7.575,3.875,0.00605,USD,12.575,12.3,12.300 - 12.575,NA,NA,NA,7.42E+07,0.18,0.3,0.08,0.36,NA,6.29E+07,20.05,5/2/17,12.475,100,12:13pm - <b>12.475</b>,8.6,1.85E+09,12.44,12.125,"Inovalon Holdings, Inc.",12.45,69.306,5.08,0.00278,0.02887,-0.37781,0.45058,12.4,2.686,41.583,34.653,4.292,8.600 - 20.050,4.28E+08,1.48E+08,11.79,NMS,11.25,161885,0.001066854
INPX,Technology,2.15,1800,36688,2.1,400,1.562,-0.142,-1.276,-0.812,-8.974,0.023,-0.06311,USD,2.25,2.085,2.085 - 2.250,NA,NA,NA,-1.09E+07,-15.609,-1.19,-0.45,-0.78,NA,1.59E+06,11.082,5/2/17,2.108,880,12:00pm - <b>2.108</b>,2.085,4.54E+06,3.384,2.92,Inpixon,2.25,NA,-0.11,-0.37704,-0.27808,-0.80978,0.01093,2.25,1.44,NA,NA,0.091,2.085 - 11.082,5.32E+07,2.16E+06,2.2,NCM,15,10215,-0.006365945
INSE,Technology,10.4,500,13521,10.2,200,-31.18,0.05,0.97,0.07,-1.1,3.13,0.0048,USD,10.7,10.35,10.35 - 10.70,NA,NA,NA,2.70E+07,-6.21,-1.47,-0.11,-0.35,NA,2.88E+06,11.5,5/2/17,10.4,100,11:59am - <b>10.40</b>,7.27,9.87E+07,9.43,10.33,"Inspired Entertainment, Inc.",10.4,NA,0,0.1031,0.0064,-0.0957,0.4302,10.35,NA,NA,NA,0.82,7.27 - 11.50,1.20E+08,9.49E+06,3.93,NCM,14,1686,0.003377305
INSG,Consumer Durables,2.1,1700,135684,2.08,1.00E+03,-0.33,-0.01,-0.51,-0.12,-1.71,1.03,-0.0048,USD,2.11,2.08,2.08 - 2.11,NA,NA,NA,-2.59E+06,-1.12,-0.08,-0.03,-0.02,NA,5.46E+07,3.8,5/2/17,2.09,100,12:05pm - <b>2.09</b>,1.06,1.17E+08,2.6,2.21,Inseego Corp.,2.09,NA,-1.34,-0.196,-0.0526,-0.45,0.9717,2.1,NA,NA,NA,0.48,1.06 - 3.80,2.44E+08,5.60E+07,29.3,NMS,3.92,45662,-0.005605071
INSY,Health Care,11.29,300,905059,11.26,400,3.75,0.07,0.42,0.63,-8.69,2.57,0.0063,USD,11.46,11.2,11.20 - 11.46,NA,NA,NA,1.75E+07,0.1,-0.34,-0.1,0.26,NA,1.77E+07,19.96,5/2/17,11.27,287,12:13pm - <b>11.27</b>,8.7,8.11E+08,10.85,10.64,"Insys Therapeutics, Inc.",11.25,112.7,-1.2,0.039,0.059,-0.4353,0.2954,11.2,2.99,NA,43.35,3.33,8.70 - 19.96,2.42E+08,7.20E+07,13.08,NGM,16.8,181554,0.001583947
INTC,Technology,36.82,5700,24002800,36.81,1900,14.15,0.5,0.9,0.99,-1.64,7.31,0.0138,USD,36.99,36.35,36.35 - 36.99,6/1/17,1.09,3.02,2.39E+10,2.31,2.85,0.74,2.97,2/3/17,4.72E+09,38.45,5/2/17,36.81,100,12:13pm - <b>36.81</b>,29.5,1.74E+11,35.91,35.82,Intel Corporation,36.37,15.94,1.52,0.025,0.0276,-0.0427,0.2478,36.31,2.57,12.92,12.39,2.84,29.50 - 38.45,6.05E+10,4.72E+09,3.73,NMS,40.18,17540835,-1.09E-04
INTG,Consumer Services,28.5,100,610,26.75,400,-19.49,0,0.51,-0.06,-5.1,7.16,0,USD,NA,NA,NA,NA,NA,NA,1.80E+07,-1.61,NaN,0,NA,NA,8.66E+05,32.35,4/21/17,27.25,NA,12:50pm - <b>27.25</b>,20.09,6.45E+07,26.74,27.31,The Intergroup Corporation,26.75,NA,0,0.019,-0.0021,-0.1577,0.3564,27.25,NA,NA,NA,0.9,20.09 - 32.35,7.16E+07,2.37E+06,10.42,NCM,33,0,-2.81E-04
INTU,Technology,125.74,100,1936250,125.73,400,3.07,0.23,8.89,5.89,-2.7,26.55,0.0018,USD,125.95,125.02,125.02 - 125.95,4/18/17,1.36,1.09,1.41E+09,3.72,4.34,0.15,4.96,4/6/17,2.43E+08,128.45,5/2/17,125.75,100,12:13pm - <b>125.75</b>,99.2,32160000000,116.86,119.86,Intuit Inc.,125.75,33.77,2.25,0.076,0.0492,-0.021,0.2676,125.52,40.94,28.97,25.35,6.62,99.20 - 128.45,4.85E+09,2.56E+08,1.52,NMS,121.6,495678,0.001168378
INTX,Technology,5.15,1100,26670,5.05,200,0.31,-0.0601,1.6925,1.0302,-0.18,3.4499,-0.011536,USD,5.3299,5.051,5.0510 - 5.3299,4/3/14,0,0,-1.67E+07,-1.31,NaN,0,NA,3/18/14,7.92E+06,5.3299,5/2/17,5.1499,100,12:07pm - <b>5.1499</b>,1.7,1.23E+08,3.4574,4.1197,"Intersections, Inc.",5.28,NA,0,0.489517,0.250064,-0.033772,2.029353,5.21,16.8065,NA,NA,0.7099,1.7000 - 5.3299,1.76E+08,2.39E+07,136.76,NGM,15.66,12331,0.006754163
INVA,Health Care,11.79,1600,1532930,11.78,800,-3.11,-0.46,0.3,-1.43,-2.76,3.12,-0.0376,USD,12.31,11.77,11.77 - 12.31,9/30/15,0,0,1.21E+08,0.63,1.25,0.29,1.55,9/8/15,5.88E+07,14.55,5/2/17,11.79,100,12:13pm - <b>11.79</b>,8.67,1.27E+09,11.49,13.22,INOVA TECHNOLOGY INC,12.29,18.68,0.13,0.0258,-0.1083,-0.1897,0.3599,12.25,NA,9.43,7.61,8.78,8.67 - 14.55,1.50E+08,1.07E+08,16.11,NMS,12,450032,-9.76E-06
INVE,Technology,5.66,100,97102,5.63,900,0.37,-0.09,1.35,-0.92,-2.18,4.02,-0.0157,USD,5.81,5.62,5.62 - 5.81,NA,NA,NA,-5.36E+06,-1.25,-0.27,-0.13,-0.16,NA,9.53E+06,7.81,5/2/17,5.63,100,12:13pm - <b>5.63</b>,1.61,6.25E+07,4.28,6.55,"Identiv, Inc.",5.73,NA,0,0.3161,-0.1409,-0.2791,2.4969,5.72,15.46,NA,NA,1.13,1.61 - 7.81,5.62E+07,1.11E+07,1.63,NCM,8,3768,8.11E-04
INVT,Public Utilities,0.2344,1100,378687,0.23,2.00E+03,0.134,-3.00E-04,-0.2774,-0.0583,-2.0452,0.0318,-0.001276,USD,0.2449,0.2266,0.2266 - 0.2449,6/6/14,0,0,-4.57E+06,-1.339,-1.8,0,-0.8,6/9/14,1.02E+07,2.28,5/2/17,0.2348,1500,12:13pm - <b>0.2348</b>,0.203,2.71E+06,0.5122,0.2931,"Inventergy Global, Inc.",0.237,NA,0,-0.541591,-0.199026,-0.897018,0.15665,0.2351,1.7545,NA,NA,1.5278,0.2030 - 2.2800,1.77E+06,1.15E+07,2.08,NCM,10.3,251043,-0.015477895
INWK,Consumer Durables,10.88,400,202770,10.84,100,4.99,-0.02,1.25,0.95,-0.16,3.25,-0.0018,USD,11,10.83,10.83 - 11.00,NA,NA,NA,4.44E+07,0.08,0.46,0.12,0.55,NA,4.63E+07,11,5/2/17,10.84,100,12:13pm - <b>10.84</b>,7.59,5.87E+08,9.59,9.89,"InnerWorkings, Inc.",10.83,135.5,1.19,0.1305,0.0957,-0.0145,0.4282,10.86,2.18,23.57,19.71,0.54,7.59 - 11.00,1.09E+09,5.41E+07,7.06,NMS,12.4,94469,0.002143669
IONS,Health Care,48,400,1636480,47.96,300,0.82,-0.76,5.14,6.61,-9.04,28.37,-0.0156,USD,48.9,47.12,47.12 - 48.90,NA,NA,NA,-3.50E+07,-0.72,-0.44,-0.32,-0.1,NA,1.23E+08,57,5/2/17,47.96,100,12:13pm - <b>47.96</b>,19.59,5.94E+09,42.82,41.35,"Ionis Pharmaceuticals, Inc.",48.9,NA,-2.7,0.12,0.1599,-0.1586,1.4479,48.72,59.49,NA,NA,17.39,19.59 - 57.00,3.47E+08,1.24E+08,4.9,NMS,47,414099,0.00118741
IOSP,Basic Industries,65.7,100,119221,65.5,200,27.15,-0.3,0.05,2.75,-9.2,21.49,-0.0046,USD,66.2,65.5,65.50 - 66.20,11/24/16,0.68,1.03,1.33E+08,3.33,4.08,1.08,4.08,11/10/16,2.37E+07,74.75,5/2/17,65.55,100,12:13pm - <b>65.55</b>,44.06,1.58E+09,65.5,62.8,Innospec Inc.,66,19.68,1.42,7.00E-04,0.0438,-0.1231,0.4877,65.85,2.43,16.07,16.07,1.79,44.06 - 74.75,8.83E+08,2.41E+07,1.16,NMS,76.67,13882,-0.001008901
IOTS,Technology,5.3,800,61470,5.2,600,1.06,-0.05,2.17,0.81,-0.5,3.8,-0.0093,USD,5.3,5,5.00 - 5.30,NA,NA,NA,-1.00E+07,-0.77,-0.32,-0.09,-0.13,NA,6.87E+06,5.8,5/2/17,5.3,100,11:54am - <b>5.30</b>,1.5,8.34E+07,3.13,4.49,Adesto Technologies Corporation,5.05,NA,-1.11,0.6912,0.1815,-0.0862,2.5333,5.35,5.07,NA,NA,1.91,1.50 - 5.80,4.40E+07,1.57E+07,3.39,NCM,7.17,30775,0.004833114
IPAR,Consumer Non-Durables,37.7,300,93341,37.6,200,11.9,-0.2,3.42,1.48,-0.77,10.6,-0.0053,USD,37.9,37.5,37.50 - 37.90,4/14/17,0.68,1.79,7.74E+07,1.07,1.26,0.21,1.41,3/29/17,1.71E+07,38.42,5/2/17,37.65,100,12:12pm - <b>37.65</b>,27.05,1.17E+09,34.23,36.17,"Inter Parfums, Inc.",37.8,35.19,2.5,0.0999,0.0408,-0.0202,0.3919,37.85,3.18,29.88,26.7,2.26,27.05 - 38.42,521070000,3.11E+07,1.32,NMS,42.2,15771,0.001866086
IPAS,Technology,1.29,1.00E+03,161341,1.28,400,0.28,0.03,-0.17,0.09,-0.6,0.31,0.0238,USD,1.29,1.26,1.26 - 1.29,12/17/10,0,0,-4.89E+06,-0.12,-0.11,-0.04,0.02,11/16/10,5.01E+07,1.89,5/2/17,1.29,100,12:05pm - <b>1.29</b>,0.98,8.44E+07,1.46,1.2,iPass Inc.,1.26,NA,-0.45,-0.1158,0.0763,-0.3175,0.3136,1.26,4.42,NA,64.5,1.3,0.98 - 1.89,6.32E+07,6.54E+07,1.96,NMS,2.51,18153,-2.28E-04
IPCC,Finance,98.9,100,45987,98.65,200,63.31,0.05,9.4,2.85,-2.95,24.95,5.00E-04,USD,100.85,98.25,98.25 - 100.85,3/24/17,2.32,2.34,1.12E+08,3.88,4.38,1,5.21,3/8/17,1.06E+07,101.7,5/2/17,98.75,100,12:09pm - <b>98.75</b>,73.8,1.09E+09,89.35,95.9,Infinity Property and Casualty,98.8,25.45,2.54,0.1052,0.0297,-0.029,0.3381,98.7,1.56,22.55,18.95,0.71,73.80 - 101.70,1.54E+09,1.10E+07,2.88,NMS,86.5,9281,0.00229557
IPCI,Health Care,2.15,300,319462,2.12,9100,0.03,-0.1,-0.5,-0.13,-1.23,0.71,-0.045,USD,2.2,2.11,2.11 - 2.20,NA,NA,NA,-9.22E+06,-0.36,0.23,0.11,0.93,NA,2.43E+07,3.35,5/2/17,2.12,110,12:11pm - <b>2.12</b>,1.41,6.44E+07,2.62,2.25,Intellipharmaceutics Internatio,2.2,NA,0,-0.19,-0.0589,-0.3672,0.5035,2.22,76.55,9.22,2.28,23.14,1.41 - 3.35,2.92E+06,3.04E+07,6.9,NCM,6,86212,-0.002463494
IPDN,Technology,8.45,300,110597,8.24,100,7.95,0.13,-0.67,-0.9,-5.46,5.59,0.0156,USD,8.49,8.2,8.20 - 8.49,NA,NA,NA,-1.79E+06,-1.98,-2.56,0,-0.14,NA,8.45E+05,13.9,5/2/17,8.44,100,12:14pm - <b>8.44</b>,2.85,3.05E+07,9.11,9.34,"Professional Diversity Network,",8.31,NA,0,-0.0736,-0.0962,-0.3928,1.9593,8.31,1.05,NA,NA,1.15,2.85 - 13.90,2.62E+07,3.62E+06,1.1,NCM,36,6988,-0.001157776
IPGP,Technology,138.47,100,242148,138.21,100,29.25,11.65,31.17,17.76,-1.82,62.05,0.092,USD,140.09,135,135.00 - 140.09,12/28/12,0,0,4.23E+08,4.85,5.52,1.38,6.3,NA,4.58E+07,140.09,5/2/17,138.27,100,12:14pm - <b>138.27</b>,76.22,7.40E+09,107.1,120.51,IPG Photonics Corporation,140,28.51,1.92,0.291,0.1474,-0.013,0.8141,126.62,4.33,25.05,21.95,6.73,76.22 - 140.09,1.01E+09,5.35E+07,8.26,NMS,132.61,443683,0.001348787
IPHS,Consumer Durables,44.66,100,1.31E+05,44.61,100,18.01,-3.76,-5.72,-5.23,-13.56,8.91,-0.0777,USD,48.59,42.31,42.31 - 48.59,3/17/17,1.92,4.01,1.18E+08,2.44,2.51,0.72,2.89,3/8/17,1.90E+07,58.22,5/2/17,44.66,100,12:13pm - <b>44.66</b>,35.75,8.61E+08,50.38,49.89,"Innophos Holdings, Inc.",48.5,18.3,1.38,-0.1135,-0.1048,-0.2329,0.2492,48.42,2.69,17.79,15.45,1.29,35.75 - 58.22,7.25E+08,1.93E+07,0.82,NMS,53.67,202870,-2.37E-04
